Titulo;Temporada;Estudios;Temas;Generos;Estreia;Transmissão;Nota;Qntd Avaliações;Faixa-etaria;Qntd de Membros;Favoritado por;Produtores;Distribuidores
"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen";"summer";"J.C.Staff";"N/A";"Action|Adventure|Fantasy";"23/07/2022";"Saturdays at 01:05 (JST)";"7.74";"142.415";"R - 17+ (violence & profanity)";"340.446";"2.091";"Genco|Movic|Warner Bros. Japan|KlockWorx|Hakuhodo DY Music & Pictures|Egg Firm|FuRyu|GREE|SB Creative";"Sentai Filmworks"
"Mamahaha no Tsurego ga Motokano datta";"summer";"Project No.9";"N/A";"Comedy|Romance";"06/07/2022";"Wednesdays at 21:00 (JST)";"6.74";"136.074";"PG-13 - Teens 13 or older";"293.421";"1.567";"Sotsu|Pony Canyon|Movic|AT-X|KlockWorx|Asmik Ace|BS Fuji|DMM pictures|BS NTV|Kadokawa|Yomiuri Shimbun|APDREAM|Bit grooove promotion|Happinet Phantom Studios|Bergamo";"N/A"
"Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu";"summer";"Staple Entertainment";"School";"Fantasy|Ecchi";"05/07/2022";"Tuesdays at 22:30 (JST)";"6.8";"116.389";"PG-13 - Teens 13 or older";"283.109";"1.994";"Square Enix|Toei Video|Pony Canyon|AT-X|Studio Mausu|Hakuhodo DY Music & Pictures|BS11|APDREAM";"Sentai Filmworks"
"Isekai Meikyuu de Harem wo";"summer";"Passione";"Harem|Isekai";"Action|Adventure|Fantasy|Erotica";"06/07/2022";"Wednesdays at 23:30 (JST)";"6.55";"118.135";"R+ - Mild Nudity";"260.948";"2.044";"Movic|AT-X|Docomo Anime Store|Crunchyroll|Kadokawa Media House|Kadokawa|Shufunotomo|Cloud22";"N/A"
"Engage Kiss";"summer";"A-1 Pictures";"N/A";"Action|Comedy|Romance";"03/07/2022";"Sundays at 00:30 (JST)";"6.8";"92.164";"PG-13 - Teens 13 or older";"237.010";"1.204";"Aniplex|Square Enix|Docomo Anime Store|Nagoya Broadcasting Network|BS11|ABC Animation|Contents Seed";"Aniplex of America"
"Kuro no Shoukanshi";"summer";"Satelight";"Isekai|Reincarnation";"Action|Adventure|Fantasy";"09/07/2022";"Saturdays at 22:00 (JST)";"7.06";"121.643";"PG-13 - Teens 13 or older";"236.568";"1.097";"flying DOG|Bushiroad|Docomo Anime Store|bilibili|Overlap|Bushiroad Move|Bushiroad Creative";"Crunchyroll"
"Kumichou Musume to Sewagakari";"summer";"feel.|Gaina";"Childcare|Organized Crime";"Slice of Life";"07/07/2022";"Thursdays at 22:30 (JST)";"7.75";"94.478";"PG-13 - Teens 13 or older";"224.944";"1.110";"Pony Canyon|Bushiroad|Tokyo MX|Docomo Anime Store|bilibili|Micro Magazine Publishing|Bushiroad Move|Micro House";"N/A"
"Isekai Yakkyoku";"summer";"Diomedéa";"Isekai|Medical|Reincarnation";"Fantasy";"10/07/2022";"Sundays at 21:30 (JST)";"7.28";"112.532";"PG-13 - Teens 13 or older";"219.238";"880";"Frontier Works|Pony Canyon|AT-X|Kansai Telecasting|BS NTV|Kadokawa|Bit grooove promotion";"N/A"
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita";"summer";"Revoroot";"Isekai";"Action|Adventure|Fantasy";"04/07/2022";"Mondays at 20:00 (JST)";"6.33";"87.050";"PG-13 - Teens 13 or older";"209.682";"1.395";"Square Enix|Pony Canyon|Movic|BS Fuji|Sammy|BS NTV|SB Creative|GREE Entertainment";"Sentai Filmworks"
"Soredemo Ayumu wa Yosetekuru";"summer";"SILVER LINK.";"School";"Comedy|Romance";"08/07/2022";"Fridays at 01:28 (JST)";"7.02";"52.751";"PG-13 - Teens 13 or older";"166.110";"668";"Pony Canyon|TBS|Kodansha|Days";"Sentai Filmworks"
"Saikin Yatotta Maid ga Ayashii";"summer";"SILVER LINK.|Blade";"Romantic Subtext";"Comedy";"24/07/2022";"Sundays at 02:00 (JST)";"6.58";"40.937";"PG-13 - Teens 13 or older";"127.073";"510";"Square Enix|Medicos Entertainment|King Records|Nagoya Broadcasting Network|ABC Animation|ABC Frontier";"N/A"
"Shadows House 2nd Season";"summer";"CloverWorks";"N/A";"Fantasy|Mystery";"09/07/2022";"Saturdays at 00:00 (JST)";"8.01";"50.590";"PG-13 - Teens 13 or older";"122.680";"676";"Aniplex|WOWOW|Tokyo MX|Shueisha|BS Asahi";"N/A"
"RWBY: Hyousetsu Teikoku";"summer";"Shaft";"N/A";"Action";"03/07/2022";"Sundays at 22:30 (JST)";"6.35";"34.964";"PG-13 - Teens 13 or older";"108.679";"647";"Warner Bros. Japan|Good Smile Company|KLab|Bandai Namco Filmworks|Bandai Namco Music Live";"N/A"
"Fuuto Tantei";"summer";"Studio Kai";"Detective";"Action|Mystery|Supernatural";"08/08/2022";"Mondays at 22:00 (JST)";"7.32";"18.422";"PG-13 - Teens 13 or older";"68.567";"454";"Toei Video|Bandai|Magic Capsule|Bandai Spirits|ADK Emotions";"N/A"
"Hoshi no Samidare";"summer";"NAZ";"Psychological";"Action|Adventure|Comedy|Drama";"09/07/2022";"Saturdays at 01:55 (JST)";"5.64";"16.646";"PG-13 - Teens 13 or older";"58.485";"172";"Nippon Animation|Mainichi Broadcasting System|Movic|Jumondo|BS11|My Theater D.D.|Live Viewing Japan|Sonilude|Mixer|Mirai-Kojo";"N/A"
"Orient: Awajishima Gekitou-hen";"summer";"A.C.G.T.";"Historical|Samurai";"Action|Adventure|Fantasy";"12/07/2022";"Tuesdays at 01:30 (JST)";"7.05";"20.776";"PG-13 - Teens 13 or older";"56.157";"262";"TV Tokyo|Kodansha|AT-X|Avex Pictures|bilibili|Crunchyroll";"N/A"
"Tokyo Mew Mew New ♡";"summer";"Yumeta Company|Graphinica";"Mahou Shoujo";"Fantasy|Romance|Sci-Fi";"06/07/2022";"Wednesdays at 00:00 (JST)";"6.6";"11.056";"PG-13 - Teens 13 or older";"44.834";"343";"TV Tokyo|Dentsu|Pony Canyon|Kodansha";"Sentai Filmworks"
"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season";"summer";"Lerche";"Psychological|School";"Drama|Suspense";"04/07/2022";"Mondays at 21:00 (JST)";"8.1";"376.386";"PG-13 - Teens 13 or older";"658.925";"8.342";"Studio Hibari|Movic|AT-X|Sammy|Crunchyroll|Kadokawa Media House|Kadokawa|Bandai Namco Music Live";"N/A"
"Yofukashi no Uta";"summer";"LIDENFILMS";"Vampire";"Romance|Supernatural";"08/07/2022";"Fridays at 00:55 (JST)";"7.96";"266.166";"PG-13 - Teens 13 or older";"605.832";"8.104";"Aniplex|Dentsu|Shogakukan-Shueisha Productions|Animax|Fuji TV|Ultra Super Pictures|Shogakukan|Fuji Creative|Tohan Corporation";"Sentai Filmworks"
"Overlord IV";"summer";"Madhouse";"Isekai";"Action|Adventure|Fantasy";"05/07/2022";"Tuesdays at 22:00 (JST)";"8.08";"269.552";"R - 17+ (violence & profanity)";"539.361";"7.180";"AT-X|Hakuhodo DY Music & Pictures|NTT Plala|Kadokawa";"N/A"
"Lycoris Recoil";"summer";"A-1 Pictures";"N/A";"Action";"02/07/2022";"Saturdays at 23:30 (JST)";"8.16";"246.779";"PG-13 - Teens 13 or older";"505.132";"8.611";"Aniplex|BS11|ABC Animation";"Aniplex of America"
"Hataraku Maou-sama!!";"summer";"Studio 3Hz";"Mythology|Workplace";"Comedy|Fantasy";"14/07/2022";"Thursdays at 23:30 (JST)";"6.66";"152.439";"PG-13 - Teens 13 or older";"480.535";"4.792";"Sotsu|Movic|KlockWorx|Tokyo MX|Hakuhodo DY Music & Pictures|Infinite|BS11|Kadokawa|Bandai Namco Music Live|Happinet Phantom Studios";"N/A"
"Made in Abyss: Retsujitsu no Ougonkyou";"summer";"Kinema Citrus";"Gore";"Adventure|Drama|Fantasy|Mystery|Sci-Fi";"06/07/2022";"Wednesdays at 22:30 (JST)";"8.63";"209.932";"R - 17+ (violence & profanity)";"456.753";"6.215";"AT-X|Takeshobo|Kadokawa Media House|Cygames|Kadokawa|Global Solutions|Sony Music Solutions|IRMA LA DOUCE";"Sentai Filmworks"
"Kanojo, Okarishimasu 2nd Season";"summer";"TMS Entertainment";"Adult Cast|Harem";"Comedy|Romance";"02/07/2022";"Saturdays at 01:25 (JST)";"6.8";"167.752";"PG-13 - Teens 13 or older";"425.818";"4.891";"Mainichi Broadcasting System|Kodansha|DMM pictures|DMM Music";"Crunchyroll"
"Isekai Ojisan";"summer";"AtelierPontdarc";"Adult Cast|Isekai|Otaku Culture|Parody";"Comedy|Fantasy";"06/07/2022";"Wednesdays at 22:00 (JST)";"7.79";"164.652";"PG-13 - Teens 13 or older";"360.767";"2.052";"Movic|AT-X|Sammy|BS11|Kadokawa Media House|Kadokawa";"N/A"
"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen";"summer";"J.C.Staff";"N/A";"Action|Adventure|Fantasy";"23/07/2022";"Saturdays at 01:05 (JST)";"7.74";"142.415";"R - 17+ (violence & profanity)";"340.446";"2.091";"Genco|Movic|Warner Bros. Japan|KlockWorx|Hakuhodo DY Music & Pictures|Egg Firm|FuRyu|GREE|SB Creative";"Sentai Filmworks"
"Mamahaha no Tsurego ga Motokano datta";"summer";"Project No.9";"N/A";"Comedy|Romance";"06/07/2022";"Wednesdays at 21:00 (JST)";"6.74";"136.074";"PG-13 - Teens 13 or older";"293.421";"1.567";"Sotsu|Pony Canyon|Movic|AT-X|KlockWorx|Asmik Ace|BS Fuji|DMM pictures|BS NTV|Kadokawa|Yomiuri Shimbun|APDREAM|Bit grooove promotion|Happinet Phantom Studios|Bergamo";"N/A"
"Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu";"summer";"Staple Entertainment";"School";"Fantasy|Ecchi";"05/07/2022";"Tuesdays at 22:30 (JST)";"6.8";"116.389";"PG-13 - Teens 13 or older";"283.109";"1.994";"Square Enix|Toei Video|Pony Canyon|AT-X|Studio Mausu|Hakuhodo DY Music & Pictures|BS11|APDREAM";"Sentai Filmworks"
"Isekai Meikyuu de Harem wo";"summer";"Passione";"Harem|Isekai";"Action|Adventure|Fantasy|Erotica";"06/07/2022";"Wednesdays at 23:30 (JST)";"6.55";"118.135";"R+ - Mild Nudity";"260.948";"2.044";"Movic|AT-X|Docomo Anime Store|Crunchyroll|Kadokawa Media House|Kadokawa|Shufunotomo|Cloud22";"N/A"
"Engage Kiss";"summer";"A-1 Pictures";"N/A";"Action|Comedy|Romance";"03/07/2022";"Sundays at 00:30 (JST)";"6.8";"92.164";"PG-13 - Teens 13 or older";"237.010";"1.204";"Aniplex|Square Enix|Docomo Anime Store|Nagoya Broadcasting Network|BS11|ABC Animation|Contents Seed";"Aniplex of America"
"Kuro no Shoukanshi";"summer";"Satelight";"Isekai|Reincarnation";"Action|Adventure|Fantasy";"09/07/2022";"Saturdays at 22:00 (JST)";"7.06";"121.643";"PG-13 - Teens 13 or older";"236.568";"1.097";"flying DOG|Bushiroad|Docomo Anime Store|bilibili|Overlap|Bushiroad Move|Bushiroad Creative";"Crunchyroll"
"Kumichou Musume to Sewagakari";"summer";"feel.|Gaina";"Childcare|Organized Crime";"Slice of Life";"07/07/2022";"Thursdays at 22:30 (JST)";"7.75";"94.478";"PG-13 - Teens 13 or older";"224.944";"1.110";"Pony Canyon|Bushiroad|Tokyo MX|Docomo Anime Store|bilibili|Micro Magazine Publishing|Bushiroad Move|Micro House";"N/A"
"Isekai Yakkyoku";"summer";"Diomedéa";"Isekai|Medical|Reincarnation";"Fantasy";"10/07/2022";"Sundays at 21:30 (JST)";"7.28";"112.532";"PG-13 - Teens 13 or older";"219.238";"880";"Frontier Works|Pony Canyon|AT-X|Kansai Telecasting|BS NTV|Kadokawa|Bit grooove promotion";"N/A"
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita";"summer";"Revoroot";"Isekai";"Action|Adventure|Fantasy";"04/07/2022";"Mondays at 20:00 (JST)";"6.33";"87.050";"PG-13 - Teens 13 or older";"209.682";"1.395";"Square Enix|Pony Canyon|Movic|BS Fuji|Sammy|BS NTV|SB Creative|GREE Entertainment";"Sentai Filmworks"
"Soredemo Ayumu wa Yosetekuru";"summer";"SILVER LINK.";"School";"Comedy|Romance";"08/07/2022";"Fridays at 01:28 (JST)";"7.02";"52.751";"PG-13 - Teens 13 or older";"166.110";"668";"Pony Canyon|TBS|Kodansha|Days";"Sentai Filmworks"
"Saikin Yatotta Maid ga Ayashii";"summer";"SILVER LINK.|Blade";"Romantic Subtext";"Comedy";"24/07/2022";"Sundays at 02:00 (JST)";"6.58";"40.937";"PG-13 - Teens 13 or older";"127.073";"510";"Square Enix|Medicos Entertainment|King Records|Nagoya Broadcasting Network|ABC Animation|ABC Frontier";"N/A"
"Shadows House 2nd Season";"summer";"CloverWorks";"N/A";"Fantasy|Mystery";"09/07/2022";"Saturdays at 00:00 (JST)";"8.01";"50.590";"PG-13 - Teens 13 or older";"122.680";"676";"Aniplex|WOWOW|Tokyo MX|Shueisha|BS Asahi";"N/A"
"RWBY: Hyousetsu Teikoku";"summer";"Shaft";"N/A";"Action";"03/07/2022";"Sundays at 22:30 (JST)";"6.35";"34.964";"PG-13 - Teens 13 or older";"108.679";"647";"Warner Bros. Japan|Good Smile Company|KLab|Bandai Namco Filmworks|Bandai Namco Music Live";"N/A"
"Fuuto Tantei";"summer";"Studio Kai";"Detective";"Action|Mystery|Supernatural";"08/08/2022";"Mondays at 22:00 (JST)";"7.32";"18.422";"PG-13 - Teens 13 or older";"68.567";"454";"Toei Video|Bandai|Magic Capsule|Bandai Spirits|ADK Emotions";"N/A"
"Hoshi no Samidare";"summer";"NAZ";"Psychological";"Action|Adventure|Comedy|Drama";"09/07/2022";"Saturdays at 01:55 (JST)";"5.64";"16.646";"PG-13 - Teens 13 or older";"58.485";"172";"Nippon Animation|Mainichi Broadcasting System|Movic|Jumondo|BS11|My Theater D.D.|Live Viewing Japan|Sonilude|Mixer|Mirai-Kojo";"N/A"
"Orient: Awajishima Gekitou-hen";"summer";"A.C.G.T.";"Historical|Samurai";"Action|Adventure|Fantasy";"12/07/2022";"Tuesdays at 01:30 (JST)";"7.05";"20.776";"PG-13 - Teens 13 or older";"56.157";"262";"TV Tokyo|Kodansha|AT-X|Avex Pictures|bilibili|Crunchyroll";"N/A"
"Tokyo Mew Mew New ♡";"summer";"Yumeta Company|Graphinica";"Mahou Shoujo";"Fantasy|Romance|Sci-Fi";"06/07/2022";"Wednesdays at 00:00 (JST)";"6.6";"11.056";"PG-13 - Teens 13 or older";"44.834";"343";"TV Tokyo|Dentsu|Pony Canyon|Kodansha";"Sentai Filmworks"
"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season";"summer";"Lerche";"Psychological|School";"Drama|Suspense";"04/07/2022";"Mondays at 21:00 (JST)";"8.1";"376.386";"PG-13 - Teens 13 or older";"658.925";"8.342";"Studio Hibari|Movic|AT-X|Sammy|Crunchyroll|Kadokawa Media House|Kadokawa|Bandai Namco Music Live";"N/A"
"Yofukashi no Uta";"summer";"LIDENFILMS";"Vampire";"Romance|Supernatural";"08/07/2022";"Fridays at 00:55 (JST)";"7.96";"266.166";"PG-13 - Teens 13 or older";"605.832";"8.104";"Aniplex|Dentsu|Shogakukan-Shueisha Productions|Animax|Fuji TV|Ultra Super Pictures|Shogakukan|Fuji Creative|Tohan Corporation";"Sentai Filmworks"
"Overlord IV";"summer";"Madhouse";"Isekai";"Action|Adventure|Fantasy";"05/07/2022";"Tuesdays at 22:00 (JST)";"8.08";"269.552";"R - 17+ (violence & profanity)";"539.361";"7.180";"AT-X|Hakuhodo DY Music & Pictures|NTT Plala|Kadokawa";"N/A"
"Lycoris Recoil";"summer";"A-1 Pictures";"N/A";"Action";"02/07/2022";"Saturdays at 23:30 (JST)";"8.16";"246.779";"PG-13 - Teens 13 or older";"505.132";"8.611";"Aniplex|BS11|ABC Animation";"Aniplex of America"
"Hataraku Maou-sama!!";"summer";"Studio 3Hz";"Mythology|Workplace";"Comedy|Fantasy";"14/07/2022";"Thursdays at 23:30 (JST)";"6.66";"152.439";"PG-13 - Teens 13 or older";"480.535";"4.792";"Sotsu|Movic|KlockWorx|Tokyo MX|Hakuhodo DY Music & Pictures|Infinite|BS11|Kadokawa|Bandai Namco Music Live|Happinet Phantom Studios";"N/A"
"Made in Abyss: Retsujitsu no Ougonkyou";"summer";"Kinema Citrus";"Gore";"Adventure|Drama|Fantasy|Mystery|Sci-Fi";"06/07/2022";"Wednesdays at 22:30 (JST)";"8.63";"209.932";"R - 17+ (violence & profanity)";"456.753";"6.215";"AT-X|Takeshobo|Kadokawa Media House|Cygames|Kadokawa|Global Solutions|Sony Music Solutions|IRMA LA DOUCE";"Sentai Filmworks"
"Kanojo, Okarishimasu 2nd Season";"summer";"TMS Entertainment";"Adult Cast|Harem";"Comedy|Romance";"02/07/2022";"Saturdays at 01:25 (JST)";"6.8";"167.752";"PG-13 - Teens 13 or older";"425.818";"4.891";"Mainichi Broadcasting System|Kodansha|DMM pictures|DMM Music";"Crunchyroll"
"Isekai Ojisan";"summer";"AtelierPontdarc";"Adult Cast|Isekai|Otaku Culture|Parody";"Comedy|Fantasy";"06/07/2022";"Wednesdays at 22:00 (JST)";"7.79";"164.652";"PG-13 - Teens 13 or older";"360.767";"2.052";"Movic|AT-X|Sammy|BS11|Kadokawa Media House|Kadokawa";"N/A"
"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen";"summer";"J.C.Staff";"N/A";"Action|Adventure|Fantasy";"23/07/2022";"Saturdays at 01:05 (JST)";"7.74";"142.415";"R - 17+ (violence & profanity)";"340.446";"2.091";"Genco|Movic|Warner Bros. Japan|KlockWorx|Hakuhodo DY Music & Pictures|Egg Firm|FuRyu|GREE|SB Creative";"Sentai Filmworks"
"Mamahaha no Tsurego ga Motokano datta";"summer";"Project No.9";"N/A";"Comedy|Romance";"06/07/2022";"Wednesdays at 21:00 (JST)";"6.74";"136.074";"PG-13 - Teens 13 or older";"293.421";"1.567";"Sotsu|Pony Canyon|Movic|AT-X|KlockWorx|Asmik Ace|BS Fuji|DMM pictures|BS NTV|Kadokawa|Yomiuri Shimbun|APDREAM|Bit grooove promotion|Happinet Phantom Studios|Bergamo";"N/A"
"Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu";"summer";"Staple Entertainment";"School";"Fantasy|Ecchi";"05/07/2022";"Tuesdays at 22:30 (JST)";"6.8";"116.389";"PG-13 - Teens 13 or older";"283.109";"1.994";"Square Enix|Toei Video|Pony Canyon|AT-X|Studio Mausu|Hakuhodo DY Music & Pictures|BS11|APDREAM";"Sentai Filmworks"
"Isekai Meikyuu de Harem wo";"summer";"Passione";"Harem|Isekai";"Action|Adventure|Fantasy|Erotica";"06/07/2022";"Wednesdays at 23:30 (JST)";"6.55";"118.135";"R+ - Mild Nudity";"260.948";"2.044";"Movic|AT-X|Docomo Anime Store|Crunchyroll|Kadokawa Media House|Kadokawa|Shufunotomo|Cloud22";"N/A"
"Engage Kiss";"summer";"A-1 Pictures";"N/A";"Action|Comedy|Romance";"03/07/2022";"Sundays at 00:30 (JST)";"6.8";"92.164";"PG-13 - Teens 13 or older";"237.010";"1.204";"Aniplex|Square Enix|Docomo Anime Store|Nagoya Broadcasting Network|BS11|ABC Animation|Contents Seed";"Aniplex of America"
"Kuro no Shoukanshi";"summer";"Satelight";"Isekai|Reincarnation";"Action|Adventure|Fantasy";"09/07/2022";"Saturdays at 22:00 (JST)";"7.06";"121.643";"PG-13 - Teens 13 or older";"236.568";"1.097";"flying DOG|Bushiroad|Docomo Anime Store|bilibili|Overlap|Bushiroad Move|Bushiroad Creative";"Crunchyroll"
"Kumichou Musume to Sewagakari";"summer";"feel.|Gaina";"Childcare|Organized Crime";"Slice of Life";"07/07/2022";"Thursdays at 22:30 (JST)";"7.75";"94.478";"PG-13 - Teens 13 or older";"224.944";"1.110";"Pony Canyon|Bushiroad|Tokyo MX|Docomo Anime Store|bilibili|Micro Magazine Publishing|Bushiroad Move|Micro House";"N/A"
"Isekai Yakkyoku";"summer";"Diomedéa";"Isekai|Medical|Reincarnation";"Fantasy";"10/07/2022";"Sundays at 21:30 (JST)";"7.28";"112.532";"PG-13 - Teens 13 or older";"219.238";"880";"Frontier Works|Pony Canyon|AT-X|Kansai Telecasting|BS NTV|Kadokawa|Bit grooove promotion";"N/A"
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita";"summer";"Revoroot";"Isekai";"Action|Adventure|Fantasy";"04/07/2022";"Mondays at 20:00 (JST)";"6.33";"87.050";"PG-13 - Teens 13 or older";"209.682";"1.395";"Square Enix|Pony Canyon|Movic|BS Fuji|Sammy|BS NTV|SB Creative|GREE Entertainment";"Sentai Filmworks"
"Soredemo Ayumu wa Yosetekuru";"summer";"SILVER LINK.";"School";"Comedy|Romance";"08/07/2022";"Fridays at 01:28 (JST)";"7.02";"52.751";"PG-13 - Teens 13 or older";"166.110";"668";"Pony Canyon|TBS|Kodansha|Days";"Sentai Filmworks"
"Saikin Yatotta Maid ga Ayashii";"summer";"SILVER LINK.|Blade";"Romantic Subtext";"Comedy";"24/07/2022";"Sundays at 02:00 (JST)";"6.58";"40.937";"PG-13 - Teens 13 or older";"127.073";"510";"Square Enix|Medicos Entertainment|King Records|Nagoya Broadcasting Network|ABC Animation|ABC Frontier";"N/A"
"Shadows House 2nd Season";"summer";"CloverWorks";"N/A";"Fantasy|Mystery";"09/07/2022";"Saturdays at 00:00 (JST)";"8.01";"50.590";"PG-13 - Teens 13 or older";"122.680";"676";"Aniplex|WOWOW|Tokyo MX|Shueisha|BS Asahi";"N/A"
"RWBY: Hyousetsu Teikoku";"summer";"Shaft";"N/A";"Action";"03/07/2022";"Sundays at 22:30 (JST)";"6.35";"34.964";"PG-13 - Teens 13 or older";"108.679";"647";"Warner Bros. Japan|Good Smile Company|KLab|Bandai Namco Filmworks|Bandai Namco Music Live";"N/A"
"Fuuto Tantei";"summer";"Studio Kai";"Detective";"Action|Mystery|Supernatural";"08/08/2022";"Mondays at 22:00 (JST)";"7.32";"18.422";"PG-13 - Teens 13 or older";"68.567";"454";"Toei Video|Bandai|Magic Capsule|Bandai Spirits|ADK Emotions";"N/A"
"Hoshi no Samidare";"summer";"NAZ";"Psychological";"Action|Adventure|Comedy|Drama";"09/07/2022";"Saturdays at 01:55 (JST)";"5.64";"16.646";"PG-13 - Teens 13 or older";"58.485";"172";"Nippon Animation|Mainichi Broadcasting System|Movic|Jumondo|BS11|My Theater D.D.|Live Viewing Japan|Sonilude|Mixer|Mirai-Kojo";"N/A"
"Orient: Awajishima Gekitou-hen";"summer";"A.C.G.T.";"Historical|Samurai";"Action|Adventure|Fantasy";"12/07/2022";"Tuesdays at 01:30 (JST)";"7.05";"20.776";"PG-13 - Teens 13 or older";"56.157";"262";"TV Tokyo|Kodansha|AT-X|Avex Pictures|bilibili|Crunchyroll";"N/A"
"Tokyo Mew Mew New ♡";"summer";"Yumeta Company|Graphinica";"Mahou Shoujo";"Fantasy|Romance|Sci-Fi";"06/07/2022";"Wednesdays at 00:00 (JST)";"6.6";"11.056";"PG-13 - Teens 13 or older";"44.834";"343";"TV Tokyo|Dentsu|Pony Canyon|Kodansha";"Sentai Filmworks"
"Chainsaw Man";"fall";"MAPPA";"Gore";"Action|Fantasy";"12/10/2022";"Wednesdays at 00:00 (JST)";"8.49";"874.566";"R - 17+ (violence & profanity)";"1.567.147";"47.904";"dugout";"N/A"
"Spy x Family Part 2";"fall";"Wit Studio|CloverWorks";"Childcare";"Action|Comedy";"01/10/2022";"Saturdays at 23:00 (JST)";"8.25";"500.840";"PG-13 - Teens 13 or older";"945.404";"7.447";"TV Tokyo|Shogakukan-Shueisha Productions|TOHO animation|Shueisha";"N/A"
"Blue Lock";"fall";"8bit";"Team Sports";"Sports";"09/10/2022";"Sundays at 01:30 (JST)";"8.25";"373.412";"PG-13 - Teens 13 or older";"707.348";"12.694";"TV Asahi|Lantis|Kodansha|Toy's Factory|Crunchyroll|Bandai Spirits|Bit grooove promotion|Bandai Namco Filmworks|Bandai Namco Music Live";"N/A"
"Mob Psycho 100 III";"fall";"Bones";"Super Power";"Action|Comedy|Supernatural";"06/10/2022";"Thursdays at 00:00 (JST)";"8.71";"344.487";"PG-13 - Teens 13 or older";"701.252";"10.653";"Shogakukan-Shueisha Productions|Warner Bros. Japan|KlockWorx|BS Fuji|Hakuhodo DY Music & Pictures|Shogakukan";"N/A"
"Kage no Jitsuryokusha ni Naritakute!";"fall";"Nexus";"Isekai|Reincarnation";"Action|Comedy|Fantasy";"05/10/2022";"Wednesdays at 22:30 (JST)";"8.28";"357.410";"R - 17+ (violence & profanity)";"667.461";"15.324";"AT-X|BS NTV|Kadokawa|NewGin|Aiming";"Sentai Filmworks"
"Boku no Hero Academia 6th Season";"fall";"Bones";"School|Super Power";"Action";"01/10/2022";"Saturdays at 17:30 (JST)";"8.28";"324.968";"PG-13 - Teens 13 or older";"666.682";"7.232";"Dentsu|Yomiuri Telecasting|Movic|Sony Music Entertainment|TOHO animation|Shueisha";"N/A"
"Bocchi the Rock!";"fall";"CloverWorks";"CGDCT|Music";"Comedy";"09/10/2022";"Sundays at 00:00 (JST)";"8.78";"362.320";"PG-13 - Teens 13 or older";"598.515";"29.070";"Aniplex|Houbunsha";"Crunchyroll"
"Bleach: Sennen Kessen-hen";"fall";"Pierrot";"N/A";"Action|Adventure|Fantasy";"11/10/2022";"Tuesdays at 00:00 (JST)";"9.01";"292.495";"R - 17+ (violence & profanity)";"559.822";"20.905";"TV Tokyo|Aniplex|Dentsu|Shueisha";"VIZ Media"
"Fuufu Ijou, Koibito Miman.";"fall";"studio MOTHER";"Love Polygon|School";"Romance";"09/10/2022";"Sundays at 22:00 (JST)";"7.58";"170.858";"PG-13 - Teens 13 or older";"319.611";"3.590";"Lantis|Rakuonsha|AT-X|KlockWorx|Exa International|Sun TV|Kadokawa|Bandai Namco Music Live";"N/A"
"Fumetsu no Anata e Season 2";"fall";"Drive";"N/A";"Adventure|Drama|Supernatural";"23/10/2022";"Sundays at 19:00 (JST)";"8.08";"103.858";"R - 17+ (violence & profanity)";"283.033";"1.563";"NHK|Kodansha|NHK Enterprises";"N/A"
"Tensei shitara Ken deshita";"fall";"C2C";"Isekai|Reincarnation";"Action|Adventure|Fantasy";"05/10/2022";"Wednesdays at 23:00 (JST)";"7.52";"138.252";"PG-13 - Teens 13 or older";"277.937";"1.709";"Gentosha Comics|Nikkatsu|NBCUniversal Entertainment Japan|JR East Marketing & Communications|Micro Magazine Publishing|BS Asahi|GREE Entertainment|Micro House";"Sentai Filmworks"
"Uzaki-chan wa Asobitai! Double";"fall";"ENGI";"Adult Cast|Romantic Subtext";"Comedy";"01/10/2022";"Saturdays at 21:00 (JST)";"7.25";"82.803";"PG-13 - Teens 13 or older";"221.690";"917";"Movic|AT-X|Sammy|ABC Animation|Kadokawa|INCS toenter";"N/A"
